No,Category,Seller ~ Barang,Terjual,Price,Omzet
30,rumah-tangga,missmosha18~hanging-shoes-organizer-hso,800,39000,31200000
1,dapur,grosirmurahbatam~ikea-pruta,4000,93000,372000000
2,dapur,lavender~shake-n-take-2-cup-2-gelas,2200,135000,297000000
3,dapur,rejekishop~shake-n-go-new-2-cup-shake-take-2-gelas,2700,123000,332100000
4,dapur,divaikea~ikea-pruta,1700,72470,123199000
5,dapur,yunyun~shake-n-take-2-gelas,1400,130000,182000000
6,dapur,rejekishop~shake-n-take,2400,110000,264000000
7,dapur,ayamjago~timbangan-dapur,1400,54000,75600000
8,dapur,kieraplaza~ikea-pruta-percantik-kulkas-lemari-dapur-asli,1700,72470,123199000
9,dapur,lavender~happy-call-jumbo-32-cm,1800,235000,423000000
10,dapur,myapotik~timbangan-digital-presisi-kitchen-scale-timbangan-dapur,1600,56000,89600000
11,dapur,nhr1ols~calista-otaru-sealware-originalbening-tidak-buram,1200,45000,54000000
12,dapur,rumahbajubagas~ikea-pruta,1000,88000,88000000
13,dapur,ernikita~pompa-galon-elektrik-baterai-nikita-beli-2pc-ongkir-1-kg,903,50000,45150000
14,dapur,rejekishop~swift-chopper,769,62000,47678000
15,dapur,dillaikea~ikea-pruta,688,73000,50224000
16,dapur,rejekishop~asah-pisau,1800,8000,14400000
17,dapur,dapurlovers~oxone-set-oxone-ox-961,675,99000,66825000
18,dapur,fantasyland~pencetak-cetakan-roti-sandwich-mold-motif-karakter-hello-kitty-bear-beruang-cars-mobil-dll,1700,11999,20398300
19,dapur,tokoheri~pisau-oxone-ox-961-oxone-knife-set,690,99500,68655000
20,dapur,sitihabibah~calista-otaru-sealware-1,741,45000,33345000
21,dapur,ramayanagrosir~alat-pemisah-kuning-dan-putih-telur,2000,2900,5800000
22,dapur,shaqcorner~ikea-pruta-murah,908,75000,68100000
23,dapur,rrnatural~calista-otaru,814,45000,36630000
24,dapur,jaco-shop~kleva-asah-pisau,686,13000,8918000
25,dapur,dapurlovers~panci-set-oxone-eco-cookware-ox-933,493,449500,221603500
26,dapur,rejekishop~lunch-box,630,65000,40950000
27,dapur,grosironlinemura~shake-n-take-gen-generasi-3-blend-go-2-double-cup-juicer-blender-new,488,145000,70760000
28,dapur,princes~ikea-pruta,566,80000,45280000
29,dapur,yunyun~happycall-32,539,250000,134750000
30,dapur,gebyshopping~vicenza-pisau-set-10-buah-stainless-steel,648,99000,64152000
1,perawatan-bayi,agogo~minyak-kemiri-kukui-candlenut-oil-hair-treatment-ku-kui,10000,33000,330000000
2,perawatan-bayi,mithashop~bra-menyusui-sorex-2,1300,20000,26000000
3,perawatan-bayi,shineshop~ear-pick-korek-kuping,3200,2400,7680000
4,perawatan-bayi,jaco-shop~baby-moon-walk,454,32000,14528000
